Date, Qty, Price, Trades, Beginning_Cash, Ending_Cash, Equity
2019-26-05 01:33:23, 0.000000, 8057.550000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-27-05 00:00:52, 0.000000, 8743.150000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-28-05 00:00:51, 0.000000, 8778.150000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-29-05 00:00:52, 0.000000, 8698.350000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-30-05 00:00:52, 0.000000, 8663.250000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-31-05 00:00:52, 0.000000, 8268.150000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-01-06 00:00:58, 0.000000, 8543.050000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-02-06 00:00:51, 0.000000, 8549.250000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-03-06 00:00:53, 0.000000, 8738.850000, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-04-06 00:01:08, -12.473338, 8017.100000, -12.473338, 100000.000000, 199676.591286, 99676.591286
2019-05-06 00:00:52, -12.473338, 7679.700000, 0.000000, 199676.591286, 199676.591286, 103885.095608
2019-06-06 00:00:55, -12.473338, 7770.050000, 0.000000, 199676.591286, 199676.591286, 102758.129498
2019-07-06 00:00:55, -12.473338, 7808.700000, 0.000000, 199676.591286, 199676.591286, 102276.034975
2019-08-06 00:00:55, -12.473338, 7982.950000, 0.000000, 199676.591286, 199676.591286, 100102.555787
2019-09-06 00:00:54, -12.473338, 7938.500000, 0.000000, 199676.591286, 199676.591286, 100656.995672
2019-10-06 00:00:56, -12.473338, 7624.350000, 0.000000, 199676.591286, 199676.591286, 104575.494880
2019-11-06 00:00:55, -12.473338, 8035.700000, 0.000000, 199676.591286, 199676.591286, 99444.587195
2019-12-06 00:00:55, -12.473338, 7921.950000, 0.000000, 199676.591286, 199676.591286, 100863.429420
2019-13-06 00:13:28, -12.473338, 8159.450000, 0.000000, 199676.591286, 199676.591286, 97901.011588
2019-14-06 00:01:04, 11.701120, 8249.150000, 24.174458, 199676.591286, -241.897248, 96282.394578
2019-14-06 19:22:34, 11.701120, 8443.600000, 0.000000, -241.897248, -241.897248, 98557.677310
2019-15-06 00:00:16, 11.701120, 8696.050000, 0.000000, -241.897248, -241.897248, 101511.624986
2019-16-06 00:00:15, 11.701120, 8856.950000, 0.000000, -241.897248, -241.897248, 103394.335150
2019-17-06 00:00:16, 11.701120, 8975.350000, 0.000000, -241.897248, -241.897248, 104779.747726
2019-18-06 00:43:21, 11.701120, 9312.600000, 0.000000, -241.897248, -241.897248, 108725.950356
2019-19-06 00:00:38, 11.701120, 9083.050000, 0.000000, -241.897248, -241.897248, 106039.958321
2019-20-06 00:00:38, 11.701120, 9288.200000, 0.000000, -241.897248, -241.897248, 108440.443034
2019-21-06 00:13:27, 11.701120, 9549.750000, 0.000000, -241.897248, -241.897248, 111500.870900
2019-22-06 00:00:46, 11.701120, 10200.350000, 0.000000, -241.897248, -241.897248, 119113.619397
2019-23-06 00:00:45, 11.701120, 10655.100000, 0.000000, -241.897248, -241.897248, 124434.703594
2019-24-06 00:00:45, 11.701120, 10792.100000, 0.000000, -241.897248, -241.897248, 126037.756997
2019-25-06 00:00:45, 11.701120, 11037.550000, 0.000000, -241.897248, -241.897248, 128909.796835
2019-26-06 00:00:46, 11.701120, 11742.900000, 0.000000, -241.897248, -241.897248, 137163.181637
2019-27-06 00:00:46, 11.701120, 12906.800000, 0.000000, -241.897248, -241.897248, 150782.114892
2019-28-06 00:01:10, 11.701120, 11126.600000, 0.000000, -241.897248, -241.897248, 129951.781547
2019-29-06 00:01:08, 11.701120, 12317.500000, 0.000000, -241.897248, -241.897248, 143886.645034
2019-30-06 00:01:09, 11.701120, 11902.000000, 0.000000, -241.897248, -241.897248, 139024.829786
2019-01-07 00:01:08, 11.701120, 10772.650000, 0.000000, -241.897248, -241.897248, 125810.170218
2019-02-07 00:01:08, 11.701120, 10566.650000, 0.000000, -241.897248, -241.897248, 123399.739554
2019-03-07 00:01:52, 11.701120, 10962.000000, 0.000000, -241.897248, -241.897248, 128025.777239
2019-04-07 00:01:12, 11.701120, 12021.900000, 0.000000, -241.897248, -241.897248, 140427.794042
2019-05-07 00:01:31, 11.701120, 11112.000000, 0.000000, -241.897248, -241.897248, 129780.945199
2019-06-07 00:01:12, 11.701120, 11014.550000, 0.000000, -241.897248, -241.897248, 128640.671081
2019-07-07 00:01:11, 11.701120, 11184.100000, 0.000000, -241.897248, -241.897248, 130624.595932
