Date, Qty, Price, Trades, Beginning_Cash, Ending_Cash, Equity
2019-08-06 00:01:04, 0.000000, 0.419945, 0.000000, 100000.000000, 100000.000000, 100000.000000
2019-09-06 00:01:03, -244615.403432, 0.408805, -244615.403432, 100000.000000, 199311.810865, 99311.810865
2019-10-06 00:01:05, -244615.403432, 0.384555, 0.000000, 199311.810865, 199311.810865, 105243.734398
2019-11-06 00:01:05, -244615.403432, 0.402835, 0.000000, 199311.810865, 199311.810865, 100772.164823
2019-12-06 00:01:04, -244615.403432, 0.393920, 0.000000, 199311.810865, 199311.810865, 102952.911145
2019-13-06 00:13:38, -244615.403432, 0.401810, 0.000000, 199311.810865, 199311.810865, 101022.895612
2019-14-06 00:01:13, -244615.403432, 0.400210, 0.000000, 199311.810865, 199311.810865, 101414.280257
2019-14-06 19:22:47, -244615.403432, 0.394220, 0.000000, 199311.810865, 199311.810865, 102879.526524
2019-15-06 00:00:27, -244615.403432, 0.404220, 0.000000, 199311.810865, 199311.810865, 100433.372490
2019-16-06 00:00:26, -244615.403432, 0.411265, 0.000000, 199311.810865, 199311.810865, 98710.056972
2019-17-06 00:00:31, 218930.198058, 0.428275, 463545.601490, 199311.810865, -568.977515, 93193.353058
2019-18-06 00:43:33, 218930.198058, 0.451480, 0.000000, -568.977515, -568.977515, 98273.628304
2019-19-06 00:00:49, 218930.198058, 0.426760, 0.000000, -568.977515, -568.977515, 92861.673808
2019-20-06 00:00:49, 218930.198058, 0.434945, 0.000000, -568.977515, -568.977515, 94653.617479
2019-21-06 00:13:38, 218930.198058, 0.431105, 0.000000, -568.977515, -568.977515, 93812.925519
2019-22-06 00:00:57, 218930.198058, 0.444635, 0.000000, -568.977515, -568.977515, 96775.051099
2019-23-06 00:00:56, 218930.198058, 0.473510, 0.000000, -568.977515, -568.977515, 103096.660568
2019-24-06 00:00:56, 218930.198058, 0.465715, 0.000000, -568.977515, -568.977515, 101390.099674
2019-25-06 00:00:56, 218930.198058, 0.472250, 0.000000, -568.977515, -568.977515, 102820.808518
2019-26-06 00:00:57, 218930.198058, 0.466715, 0.000000, -568.977515, -568.977515, 101609.029872
2019-27-06 00:00:57, 218930.198058, 0.462160, 0.000000, -568.977515, -568.977515, 100611.802820
2019-28-06 00:01:53, -216116.708203, 0.403930, -435046.906261, -568.977515, 174038.904143, 86742.882198
2019-29-06 00:01:20, 0.000000, 0.421920, 216116.708203, 174038.904143, 82626.982714, 82626.982714
2019-30-06 00:01:19, 0.000000, 0.425960, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-01-07 00:01:18, 0.000000, 0.393085, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-02-07 00:01:18, 0.000000, 0.404965, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-03-07 00:02:03, 0.000000, 0.399000, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-04-07 00:01:22, 0.000000, 0.406335, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-05-07 00:01:41, 0.000000, 0.386390, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-06-07 00:01:22, 0.000000, 0.379350, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-07-07 00:01:21, 0.000000, 0.389525, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-08-07 00:01:36, 0.000000, 0.398300, 0.000000, 82626.982714, 82626.982714, 82626.982714
2019-09-07 00:01:27, 0.000000, 0.402070, 0.000000, 82626.982714, 82626.982714, 82626.982714
